FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,ARR_DELAY,DEP_DELAY
2009-03-07,XE,3024,HRL,IAH,1.0,-10.0
2009-03-07,MQ,3646,SGF,DFW,-6.0,-10.0
2009-04-01,US,768,BOS,PHL,-10.0,-10.0
2009-02-25,OH,6443,DCA,HSV,-5.0,-10.0
2009-01-21,XE,2112,OKC,IAH,2.0,-10.0
2009-03-13,OO,4892,SJC,SLC,0.0,-10.0
2009-04-14,XE,2081,COS,IAH,-22.0,-10.0
2009-04-17,OH,6598,PHL,BOS,-12.0,-10.0
2009-01-27,XE,2885,IAH,COS,-13.0,-10.0
2009-03-23,YV,7130,CAE,ORD,-19.0,-10.0
2009-03-02,XE,2308,BRO,IAH,-9.0,-10.0
2009-01-21,F9,611,IND,DEN,-25.0,-10.0
2009-02-05,XE,3114,CAE,EWR,6.0,-10.0
2009-03-03,OH,6935,JFK,DCA,-18.0,-10.0
2009-02-05,OH,6929,BOS,BWI,-19.0,-10.0
2009-02-05,YV,7297,JFK,IAD,-13.0,-10.0
2009-03-13,XE,2505,RIC,EWR,-4.0,-10.0
2009-09-10,YV,7026,GRB,ORD,-17.0,-10.0
2009-09-09,OH,6344,DSM,LGA,4.0,-10.0
2009-09-12,B6,1282,RIC,BOS,-6.0,-10.0
2009-09-04,B6,597,HPN,MCO,-2.0,-10.0
2009-09-03,EV,5013,DHN,ATL,-19.0,-10.0
2009-09-06,B6,1281,RIC,FLL,0.0,-10.0
2009-09-22,XE,2548,IAH,LBB,-17.0,-10.0
2009-09-22,US,716,BOS,PHL,-20.0,-10.0
2009-09-27,F9,844,SEA,DEN,-23.0,-10.0
2009-09-16,US,1732,CLT,DCA,-26.0,-10.0
2009-09-15,XE,2984,IAH,DAL,3.0,-10.0
2009-09-20,B6,60,TPA,JFK,-10.0,-10.0
2009-09-16,B6,576,MCO,SWF,-21.0,-10.0
2009-09-14,XE,2607,PBI,IAH,4.0,-10.0
2009-09-20,NW,360,SFO,MSP,-4.0,-10.0
2009-09-10,AA,1715,PHL,ORD,-20.0,-10.0
2009-09-08,B6,748,SJU,MCO,-20.0,-10.0
2009-09-14,B6,544,PBI,EWR,-11.0,-10.0
2009-09-12,B6,768,PSE,MCO,-15.0,-10.0
2009-09-28,EV,5479,LFT,ATL,-13.0,-10.0
2009-09-01,OO,5954,LEX,ORD,-22.0,-10.0
2009-09-30,XE,3125,CMH,EWR,-22.0,-10.0
2009-09-21,AS,111,SEA,ANC,-18.0,-10.0
2009-09-25,UA,279,ALB,ORD,-22.0,-10.0
2009-09-25,OO,5799,MKE,ORD,-21.0,-10.0
2009-12-02,OO,2559,PHL,MKE,-28.0,-10.0
2009-12-05,US,303,DEN,CLT,0.0,-10.0
2009-12-04,OO,6311,LAX,PSP,-14.0,-10.0
2009-11-24,F9,226,SMF,DEN,-17.0,-10.0
2009-11-27,YV,7059,ORD,DAY,-19.0,-10.0
2009-11-25,OO,6821,RDD,SFO,-28.0,-10.0
2009-12-24,AS,152,ANC,OME,-18.0,-10.0
2009-12-29,XE,2959,MOB,IAH,-17.0,-10.0
2009-12-25,XE,2517,SAV,EWR,-38.0,-10.0
2009-12-10,EV,5102,ATL,HSV,5.0,-10.0
2009-12-08,NW,7015,BOS,DTW,23.0,-10.0
2009-12-12,YV,2876,SAN,LAS,-12.0,-10.0
2009-11-04,US,2186,DCA,LGA,-23.0,-10.0
2009-11-03,XE,3103,BTR,IAH,-17.0,-10.0
2009-11-06,FL,635,TPA,BWI,-4.0,-10.0
2009-09-29,OO,2545,MKE,DSM,-10.0,-10.0
2009-09-29,EV,5389,LFT,ATL,-22.0,-10.0
2009-11-02,YV,7121,JAC,DEN,-14.0,-10.0
2009-11-16,UA,396,LAS,ORD,-15.0,-10.0
2009-11-16,FL,563,BMI,ATL,-19.0,-10.0
2009-11-20,YV,2717,DTW,CLT,-23.0,-10.0
2009-11-10,XE,2262,OMA,IAH,-15.0,-10.0
2009-11-08,B6,1133,SYR,JFK,-28.0,-10.0
2009-11-14,OO,4774,SLC,PSC,-7.0,-10.0
2009-06-13,YV,2856,FLG,PHX,-6.0,-10.0
2009-06-09,MQ,4251,CWA,ORD,9.0,-10.0
2009-06-19,XE,5688,SAV,IAD,-16.0,-10.0
2009-06-17,9E,2422,SHV,MEM,-19.0,-10.0
2009-06-02,B6,1252,IAD,BOS,-13.0,-10.0
2009-06-09,US,902,EWR,CLT,-18.0,-10.0
2009-06-07,9E,2382,SBN,DTW,-26.0,-10.0
2009-06-30,MQ,4290,BNA,ORD,0.0,-10.0
2009-07-06,YV,7184,JFK,IAD,-36.0,-10.0
2009-07-05,NW,1686,MSP,GRB,-14.0,-10.0
2009-06-24,XE,2645,XNA,IAH,-13.0,-10.0
2009-06-27,YV,2783,ICT,PHX,-20.0,-10.0
2009-06-27,AS,60,JNU,KTN,0.0,-10.0
2009-05-14,XE,2645,XNA,IAH,-6.0,-10.0
2009-05-18,UA,550,BOI,DEN,-19.0,-10.0
2009-05-15,B6,607,PWM,JFK,-23.0,-10.0
2009-05-07,MQ,4238,LSE,ORD,-15.0,-10.0
2009-05-11,B6,430,MCO,BOS,-17.0,-10.0
2009-05-08,XE,3107,CLE,GRR,-18.0,-10.0
2009-05-30,MQ,4174,PHL,ORD,-19.0,-10.0
2009-05-28,FL,340,LGA,ATL,3.0,-10.0
2009-05-30,YV,2734,ELP,PHX,-15.0,-10.0
2009-05-22,MQ,4417,HPN,ORD,-16.0,-10.0
2009-05-20,YV,2664,SDF,CLT,-10.0,-10.0
2009-05-24,9E,2233,MEM,SHV,-17.0,-10.0
2009-08-24,YV,2893,DRO,PHX,0.0,-10.0
2009-08-23,MQ,4115,DSM,ORD,-18.0,-10.0
2009-08-27,UA,657,AUS,SFO,-24.0,-10.0
2009-08-15,OO,6321,SAN,LAX,-13.0,-10.0
2009-08-14,OO,6600,GTF,DEN,-10.0,-10.0
2009-08-21,AS,233,SAN,PDX,-17.0,-10.0
2009-09-04,FL,496,BWI,ATL,-7.0,-10.0
2009-09-02,NW,197,LGA,MSP,-24.0,-10.0
2009-09-07,OH,6350,IND,JFK,-29.0,-10.0
2009-08-30,XE,2398,PBI,IAH,-13.0,-10.0
2009-08-27,YV,7179,IAD,CAE,-17.0,-10.0
2009-09-02,CO,726,ONT,IAH,-22.0,-10.0
2009-08-31,UA,722,ORD,IAD,-31.0,-10.0
2009-07-16,XE,2157,JAX,IAH,-5.0,-10.0
2009-07-23,CO,1572,AUS,IAH,-18.0,-10.0
2009-07-20,NW,1252,ORD,DTW,-39.0,-10.0
2009-07-08,CO,130,CLE,BOS,-10.0,-10.0
2009-07-14,XE,2110,COS,IAH,-9.0,-10.0
2009-07-13,MQ,3794,FWA,DFW,-7.0,-10.0
2009-08-04,CO,524,CLE,EWR,-30.0,-10.0
2009-08-10,B6,1219,BOS,BUF,-8.0,-10.0
2009-08-10,YV,2808,PHX,TUS,-24.0,-10.0
2009-07-27,OH,6820,CLE,JFK,-16.0,-10.0
2009-08-02,YV,1023,HNL,KOA,-4.0,-10.0
2009-07-28,XE,3043,CMH,EWR,-23.0,-10.0
2009-01-08,9E,2385,TYS,DTW,-15.0,-10.0
2009-01-15,XE,2437,RDU,IAH,4.0,-10.0
2009-01-06,XE,2641,EWR,MCI,-19.0,-10.0
2009-01-13,YV,2896,PHX,DRO,-12.0,-10.0
2009-01-17,OH,6344,RIC,CVG,-11.0,-10.0
2009-01-12,US,948,CLT,CLE,-4.0,-10.0
2009-12-17,HA,117,KOA,HNL,-2.0,-9.0
2009-04-10,XE,2486,GSP,EWR,-9.0,-9.0
2009-09-26,HA,387,KOA,HNL,-7.0,-9.0
2009-07-15,XE,2155,IAH,DAL,-13.0,-9.0
2009-09-26,F9,687,DEN,SAT,-17.0,-9.0
2009-09-16,YV,2604,CLT,CHS,-15.0,-9.0
2009-09-07,MQ,4549,RDU,JFK,-8.0,-9.0
2009-11-29,UA,334,ORD,CMH,-19.0,-9.0
2009-11-28,F9,721,DCA,DEN,-27.0,-9.0
2009-05-17,OO,6612,SLC,DEN,-16.0,-9.0
2009-01-26,OO,6512,LAX,COS,-10.0,-9.0
2009-03-04,XE,2736,IAH,CRW,-18.0,-9.0
2009-05-14,MQ,3948,BMI,ORD,-9.0,-9.0
2009-12-17,XE,3082,SDF,CLE,-14.0,-9.0
2009-03-25,OO,6520,ASE,DEN,-6.0,-9.0
2009-03-06,US,798,BOS,PHL,-17.0,-9.0
2009-03-31,UA,344,SAN,SFO,-20.0,-9.0
2009-06-01,B6,118,MSY,JFK,-1.0,-9.0
2009-03-15,OO,5825,CLE,ORD,-25.0,-9.0
2009-06-27,US,1429,CLE,CLT,-9.0,-9.0
2009-08-05,US,2191,LGA,DCA,-5.0,-9.0
2009-05-28,OO,6686,DEN,BIS,-8.0,-9.0
2009-06-27,FL,1109,CLT,MCO,-23.0,-9.0
2009-07-29,AA,1495,JAX,DFW,-13.0,-9.0
2009-09-10,US,1223,DCA,PBI,-4.0,-9.0
2009-03-20,OO,6682,SBA,DEN,-22.0,-9.0
2009-03-03,DL,1666,ATL,CHS,-3.0,-9.0
2009-08-29,US,397,LAS,DFW,-12.0,-9.0
2009-09-15,XE,2120,MKE,IAH,-18.0,-9.0
