FlightDate,Airline,Origin,Dest,ArrDelay,DepDelay,Cancelled,Distance
2018-06-05,UA,PBI,EWR,-20.0,-12.0,False,1023.0

2018-12-18,MQ,TYR,DFW,-11.0,-12.0,False,102.0

2018-08-24,AA,PHX,OMA,-15.0,-12.0,False,1037.0

2018-11-23,F9,MKE,PHX,-38.0,-12.0,False,1460.0

2018-03-20,QX,STS,SEA,-21.0,-12.0,False,618.0

2018-07-24,YV,MAF,IAH,-18.0,-12.0,False,429.0

2018-12-18,DL,CAE,ATL,0.0,-11.0,False,192.0

2018-11-11,UA,DSM,DEN,-6.0,-11.0,False,589.0

2018-10-16,NK,MCO,FLL,-9.0,-11.0,False,177.0

2018-12-03,UA,PDX,SFO,-23.0,-11.0,False,550.0

2018-07-13,AS,ANC,FAI,-15.0,-11.0,False,261.0

2018-03-02,UA,SRQ,EWR,-24.0,-11.0,False,1034.0

2018-01-19,OO,CLE,ORD,-27.0,-11.0,False,316.0

2018-01-20,B6,HPN,PBI,-11.0,-11.0,False,1056.0

2018-05-27,OO,SFO,ONT,-17.0,-11.0,False,363.0

2018-09-30,YV,DFW,HSV,-14.0,-11.0,False,603.0

2018-05-05,OO,SNA,SJC,-21.0,-11.0,False,342.0

2018-02-15,VX,LAS,SFO,-19.0,-11.0,False,414.0

2018-12-08,OO,RKS,DEN,-5.0,-11.0,False,260.0

2018-01-17,OO,BOI,SLC,-5.0,-11.0,False,290.0

2018-11-02,UA,BNA,ORD,-23.0,-11.0,False,409.0

2018-01-23,UA,BDL,IAD,-19.0,-11.0,False,326.0

2018-02-18,EV,EWR,DSM,-14.0,-11.0,False,1017.0

2018-08-30,F9,TTN,ATL,-12.0,-11.0,False,701.0

2018-05-31,G4,PIA,AZA,-8.0,-11.0,False,1312.0

2018-09-15,F9,DTW,TTN,-21.0,-11.0,False,464.0

2018-03-25,EV,CLE,DCA,-13.0,-11.0,False,310.0

2018-08-03,AA,DFW,STL,-14.0,-11.0,False,550.0

2018-10-04,DL,CVG,MSP,-20.0,-11.0,False,596.0

2018-05-11,EV,IAH,LRD,-16.0,-11.0,False,301.0

2018-01-30,UA,SEA,SFO,-18.0,-11.0,False,679.0

2018-08-30,F9,LAS,RDU,-19.0,-11.0,False,2026.0

2018-09-20,OO,ERI,DTW,-26.0,-11.0,False,164.0

2018-06-12,B6,JFK,BUF,-18.0,-11.0,False,301.0

2018-09-11,AA,TPA,CLT,-4.0,-11.0,False,507.0

2018-09-14,OO,CID,MSP,-35.0,-11.0,False,220.0

2018-01-19,9E,JFK,PWM,-24.0,-11.0,False,273.0

2018-09-20,MQ,JFK,PIT,-8.0,-11.0,False,340.0

2018-01-25,VX,LAS,SFO,-9.0,-11.0,False,414.0

2018-11-16,OO,HIB,MSP,-20.0,-11.0,False,174.0

2018-09-04,OH,CID,CLT,-27.0,-11.0,False,742.0

2018-10-14,YX,CMH,IAH,-1.0,-11.0,False,986.0

2018-07-01,B6,SEA,BOS,-17.0,-11.0,False,2496.0

2018-02-20,B6,FLL,EWR,-24.0,-11.0,False,1065.0

2018-02-17,EV,CLL,IAH,-16.0,-11.0,False,74.0

2018-06-01,OO,TUL,DEN,-9.0,-11.0,False,541.0

2018-09-23,MQ,LGA,CVG,-20.0,-11.0,False,585.0

2018-09-17,UA,LGA,ORD,-38.0,-11.0,False,733.0

2018-02-02,OO,SFO,EUG,-9.0,-11.0,False,451.0

2018-10-11,YV,MEM,PHX,3.0,-11.0,False,1264.0

2018-10-01,UA,BWI,ORD,-8.0,-11.0,False,621.0

2018-01-24,YX,DCA,ORD,-20.0,-11.0,False,612.0

2018-11-01,YX,ELP,IAH,-7.0,-11.0,False,667.0

2018-04-16,DL,SNA,ATL,-32.0,-11.0,False,1919.0

2018-07-08,AX,TYS,DEN,-22.0,-11.0,False,1162.0

2018-10-14,OO,DHN,ATL,13.0,-11.0,False,170.0

2018-03-31,UA,LAX,IAD,-26.0,-11.0,False,2288.0

2018-08-15,EV,HRL,IAH,-23.0,-11.0,False,295.0

2018-08-30,AA,SLC,DFW,-25.0,-11.0,False,989.0

2018-07-28,EV,LGA,CLE,-17.0,-11.0,False,419.0

2018-01-10,DL,TPA,BOS,-8.0,-11.0,False,1185.0

2018-12-12,EV,CLE,DCA,-19.0,-11.0,False,310.0

2018-09-18,AS,SJC,PDX,-20.0,-11.0,False,569.0

2018-08-26,HA,LIH,OGG,-13.0,-11.0,False,201.0

2018-07-03,AS,ANC,JNU,-11.0,-11.0,False,571.0

2018-04-15,B6,HPN,PBI,-12.0,-11.0,False,1056.0

2018-08-01,YV,LIT,DFW,-6.0,-11.0,False,304.0

2018-10-18,YV,IAH,ATL,-3.0,-11.0,False,689.0

2018-12-12,MQ,CID,ORD,12.0,-11.0,False,196.0

2018-01-08,AX,SAF,DEN,0.0,-11.0,False,303.0

2018-04-19,ZW,ROA,IAD,-23.0,-11.0,False,177.0

2018-04-18,AX,AMA,DEN,-15.0,-11.0,False,359.0

2018-08-27,MQ,ROC,BOS,-22.0,-11.0,False,343.0

2018-07-21,UA,PDX,EWR,-15.0,-11.0,False,2434.0

2018-12-09,UA,IAH,LAS,12.0,-11.0,False,1222.0

2018-04-26,AS,SEA,GEG,3.0,-11.0,False,224.0

2018-11-04,YV,MSP,IAD,-2.0,-11.0,False,908.0

2018-02-12,UA,EWR,ATL,-21.0,-11.0,False,746.0

2018-10-19,B6,JFK,ROC,0.0,-11.0,False,264.0

2018-10-02,AA,BUF,CLT,-11.0,-11.0,False,546.0

2018-07-17,OO,GJT,DEN,-7.0,-11.0,False,212.0

2018-11-25,OO,LRD,DFW,-16.0,-11.0,False,396.0

2018-01-07,G7,MSN,DTW,-17.0,-11.0,False,311.0

2018-11-04,EV,ECP,CLT,-24.0,-11.0,False,437.0

2018-07-16,OO,BIS,DEN,-2.0,-11.0,False,516.0

2018-07-23,NK,TPA,LAX,-11.0,-11.0,False,2158.0

2018-10-16,AA,STL,ORD,-3.0,-11.0,False,258.0

2018-12-17,B6,BTV,JFK,-20.0,-11.0,False,266.0

2018-05-04,UA,DEN,MSN,-11.0,-11.0,False,826.0

2018-09-30,OO,ORD,BHM,-7.0,-10.0,False,584.0

2018-09-30,OO,ORD,DTW,-28.0,-10.0,False,235.0

2018-08-18,MQ,SWO,DFW,-17.0,-10.0,False,225.0

2018-04-18,OO,BIL,DEN,-16.0,-10.0,False,455.0

2018-08-16,OO,MSP,ORD,2.0,-10.0,False,334.0

2018-06-13,UA,ALB,ORD,-29.0,-10.0,False,723.0

2018-08-29,OH,LYH,CLT,-21.0,-10.0,False,175.0

2018-06-27,B6,MCO,BDL,-16.0,-10.0,False,1050.0

2018-12-25,DL,ATL,AVP,-27.0,-10.0,False,714.0

2018-08-16,MQ,IND,ORD,-11.0,-10.0,False,177.0

2018-12-23,PT,BWI,PHL,-16.0,-10.0,False,90.0

2018-12-12,G4,LAS,SCK,-11.0,-10.0,False,359.0

2018-06-09,EV,AEX,IAH,-14.0,-10.0,False,190.0

2018-11-02,ZW,ORD,MSN,-19.0,-10.0,False,109.0

